config_name,ablation,error,code_distance,episodes_completed,num_samples,physical_error_rate,seed,test_distance,train_distance,training_episodes,avg_recent_reward,ci_95_lower,ci_95_upper,convergence_episode,deviation_from_benchmark,expected_benchmark,generalization_gap,logical_error_rate,logical_error_rate_mwpm,logical_error_rate_rl,mwpm_benchmark,mwpm_ci_95_lower,mwpm_ci_95_upper,mwpm_test_error_rate,relative_deviation,rl_ci_95_lower,rl_ci_95_upper,rl_vs_mwpm_at_test,rl_vs_mwpm_ratio,stderr,test_ci_95_lower,test_ci_95_upper,test_logical_error_rate,train_logical_error_rate,training_loss,training_time_sec
mwpm_validation_d5_p0.001,None,None,5,,10000,0.001,,,,,,0.004398943242112411,0.007401056757887589,,0.005872545750219405,2.7454249780594783e-05,,0.0059,,,,,,,213.9029766666667,,,,,,,,,,,
mwpm_validation_d5_p0.003,None,None,5,,10000,0.003,,,,,,0.0170694758903097,0.0225305241096903,,0.019058735255923942,0.0007412647440760591,,0.0198,,,,,,,25.71110444444445,,,,,,,,,,,
mwpm_validation_d5_p0.005,None,None,5,,10000,0.005,,,,,,0.02760297450112602,0.03439702549887398,,0.02756821877742565,0.0034317812225743483,,0.031,,,,,,,8.033209866666667,,,,,,,,,,,
mwpm_validation_d5_p0.007,None,None,5,,10000,0.007,,,,,,0.04064976966758679,0.04875023033241321,,0.03528319232525599,0.009416807674744012,,0.0447,,,,,,,3.7468315743440233,,,,,,,,,,,
mwpm_validation_d5_p0.01,None,None,5,,10000,0.01,,,,,,0.05708047790961839,0.06651952209038162,,0.03434575021940521,0.027454249780594787,,0.0618,,,,,,,1.2510176199999998,,,,,,,,,,,
mwpm_validation_d7_p0.001,None,None,7,,10000,0.001,,,,,,0.005808967475179735,0.009191032524820265,,0.007497334538856253,2.6654611437470664e-06,,0.0075,,,,,,,2812.772025,,,,,,,,,,,
mwpm_validation_d7_p0.003,None,None,7,,10000,0.003,,,,,,0.021282013028258735,0.027317986971741263,,0.024084097647356487,0.00021590235264351234,,0.0243,,,,,,,111.55088100000003,,,,,,,,,,,
mwpm_validation_d7_p0.005,None,None,7,,10000,0.005,,,,,,0.04036275015110534,0.048437249848894665,,0.04273408678515808,0.0016659132148419168,,0.0444,,,,,,,25.6520486208,,,,,,,,,,,
mwpm_validation_d7_p0.007,None,None,7,,10000,0.007,,,,,,0.05505616848005874,0.06434383151994127,,0.05330022779386329,0.006399772206136708,,0.0597,,,,,,,8.328457025822573,,,,,,,,,,,
mwpm_validation_d7_p0.01,None,None,7,,10000,0.01,,,,,,0.08031065756418859,0.09128934243581141,,0.059145388562529336,0.02665461143747067,,0.0858,,,,,,,2.2189551966,,,,,,,,,,,
mwpm_validation_d9_p0.001,None,None,9,,10000,0.001,,,,,,0.008774137325088397,0.012825862674911604,,0.010799741217364685,2.5878263531524917e-07,,0.0108,,,,,,,10799.741217364686,,,,,,,,,,,
mwpm_validation_d9_p0.003,None,None,9,,10000,0.003,,,,,,0.03263410253694951,0.03996589746305049,,0.036237115819618394,6.288418038160553e-05,,0.0363,,,,,,,576.2516995485599,,,,,,,,,,,
mwpm_validation_d9_p0.005,None,None,9,,10000,0.005,,,,,,0.054767112215647784,0.06403288778435222,,0.05859130426463985,0.0008086957353601537,,0.0594,,,,,,,72.451605347648,,,,,,,,,,,
mwpm_validation_d9_p0.007,None,None,9,,10000,0.007,,,,,,0.07613741170329104,0.08686258829670897,,0.0771506402482566,0.004349359751743394,,0.0815,,,,,,,17.738390165893176,,,,,,,,,,,
mwpm_validation_d9_p0.01,None,None,9,,10000,0.01,,,,,,0.10279433133175407,0.11500566866824592,,0.08302173646847508,0.02587826353152492,,0.1089,,,,,,,3.208164889709,,,,,,,,,,,
mwpm_validation_d11_p0.001,None,None,11,,10000,0.001,,,,,,0.010231010475267342,0.014568989524732658,,0.012399974875472298,2.5124527700509628e-08,,0.0124,,,,,,,12399.974875472299,,,,,,,,,,,
mwpm_validation_d11_p0.003,None,None,11,,10000,0.003,,,,,,0.03969323503439496,0.047706764965605046,,0.04368168421930633,1.8315780693671514e-05,,0.0437,,,,,,,2384.9206839651265,,,,,,,,,,,
mwpm_validation_d11_p0.005,None,None,11,,10000,0.005,,,,,,0.06577278683388102,0.07582721316611898,,0.07040742925467953,0.000392570745320463,,0.0708,,,,,,,179.34965886774015,,,,,,,,,,,
mwpm_validation_d11_p0.007,None,None,11,,10000,0.007,,,,,,0.08828015714901187,0.09971984285098813,,0.09104412444056274,0.002955875559437258,,0.094,,,,,,,30.80106811326516,,,,,,,,,,,
mwpm_validation_d11_p0.01,None,None,11,,10000,0.01,,,,,,0.12448481010050354,0.13771518989949647,,0.10597547229949036,0.025124527700509634,,0.1311,,,,,,,4.218008535831729,,,,,,,,,,,
mwpm_validation_d13_p0.001,None,None,13,,10000,0.001,,,,,,0.014651686419296086,0.019748313580703912,,0.017199997560725468,2.439274534030061e-09,,0.0172,,,,,,,17199.997560725467,,,,,,,,,,,
mwpm_validation_d13_p0.003,None,None,13,,10000,0.003,,,,,,0.04448129361419878,0.05291870638580122,,0.048694665306594075,5.3346934059237416e-06,,0.0487,,,,,,,9127.922000638804,,,,,,,,,,,
mwpm_validation_d13_p0.005,None,None,13,,10000,0.005,,,,,,0.0807961919174448,0.0918038080825552,,0.0861094316770289,0.00019056832297109852,,0.0863,,,,,,,451.85595556764287,,,,,,,,,,,
mwpm_validation_d13_p0.007,None,None,13,,10000,0.007,,,,,,0.11001654721274998,0.12258345278725002,,0.11429115253242128,0.0020088474675787195,,0.1163,,,,,,,56.89389283008996,,,,,,,,,,,
