time_years,S_total,S_1mm_1cm,S_1cm_10cm,S_10cm_1m,S_1m_plus,S_400_600km,S_600_800km,S_800_1000km,S_1000_1200km,S_1200_1500km,S_1500_plus_km,cumulative_collisions,collision_rate_per_year,cascade_gain_G,cascade_multiplier_Km,collisions_this_step,fragments_generated,launches,objects_decayed,scenario,pmd_compliance
5.800000000000001,111332667.14755811,110248778.59118801,1002520.818959289,31683.837184629316,49683.90022617056,3815090.9838624815,17851199.944833834,36631949.33551028,30996695.606548797,15537786.515686605,6499944.761116105,2215.0,562.7010853025267,1216.0948769324584,0.22219630592159323,62.0,9126.801763222773,530.8914285714286,310166.55130848277,PMD_80,0.8
5.9,111034905.55815485,109951757.1482956,1001310.9597959557,31647.932965223983,50189.51709806139,3692914.6269994904,17733915.36083502,36588192.72566264,30986058.17872855,15534690.05927528,6499134.606653865,2277.0,567.4286897228986,1105.5137392913855,0.20697794727405125,62.0,6837.577032347218,530.9314285714286,305203.8121499048,PMD_80,0.8
6.0,110746562.86063801,109664059.86837813,1000194.9037001153,31613.959972851128,50694.1285869146,3574833.9449685127,17617188.944796853,36547675.74246452,30976835.447782647,15531704.225259911,6498324.555365574,2339.0,572.1423146719972,1013.403661372643,0.19435468301514935,62.0,11433.603526445546,530.9714285714285,300378.98675755784,PMD_80,0.8
6.1000000000000005,110458733.14829618,109376893.16529019,999063.9534347798,31578.36060377679,51197.66896742743,3460715.152474761,17501346.908416048,36504354.81911539,30966082.668782964,15528608.992268618,6497624.607238389,2405.0,576.8798621228011,923.0632952353787,0.1813001898721296,66.0,7260.0,531.0114285714285,295696.4380561256,PMD_80,0.8
6.2,110174245.01081954,109093163.67470486,997838.2211736682,31542.935932173168,51700.17900884279,3350428.843999454,17385943.42050458,36461088.19703112,30954455.419094548,15525514.381429547,6496814.74876031,2460.0,581.577896481502,841.7569657118408,0.16926262080643775,55.0,6050.0,531.0514285714287,291144.9031909087,PMD_80,0.8
6.300000000000001,109895500.6026842,108815043.7610298,996747.493172813,31507.68484887507,52201.663632720476,3243519.850291899,17271745.4461795,36417655.808345586,30944154.1118291,15522420.392618785,6496004.993419332,2527.0,586.2569361375587,768.5812691406568,0.15817915545204794,67.0,7370.0,531.0914285714287,286721.2138496367,PMD_80,0.8
6.4,109620180.78468344,108540414.3245358,995591.7261593884,31472.60625202753,52702.127736210736,3139987.307401181,17158085.145097762,36374937.84511882,30932538.120150585,15519437.025712451,6495195.341202624,2586.0,590.9431182920297,702.7231422265911,0.14798859056938607,59.0,6490.0,531.1314285714286,282416.6637150618,PMD_80,0.8
6.5,113384269.0202344,112226437.48675755,1071660.4559836905,32941.60536238674,53229.47213079085,3039830.5849092524,17044958.86509637,40366501.453568324,30922028.06522436,15516564.259338759,6494385.792097355,2654.0,595.6082966209955,6576.1419948008015,1.3916027294221294,68.0,4041709.993421871,531.1714285714286,278226.64358515484,PMD_80,0.8
6.6000000000000005,113113554.36331105,111956304.07725021,1070615.8883895646,32906.492532288576,53727.905138990536,2943379.275726505,16933022.978477556,40318140.26669435,30911853.424191836,15513472.07213011,6493686.346090695,2725.0,621.5675932615766,5929.527795320721,1.3283807642744259,71.0,7810.0,531.2114285714285,279131.5826376521,PMD_80,0.8
6.7,112846463.8838012,111689811.60455287,1069555.398054138,32871.54902042485,54225.332173784125,2849742.9784176988,16821609.74533681,40270389.625548296,30901464.0383609,15510380.506466845,6492876.989670648,2793.0,626.4551628536165,5347.57501578865,1.2246901039535518,68.0,7480.0,531.2514285714285,275177.4452241395,PMD_80,0.8
6.800000000000001,112583576.34881642,111427486.1092145,1068531.6593092922,32836.82131136978,54721.75898127574,2759049.043513484,16711265.613282373,40223154.384416685,30890750.009053495,15507289.562225178,6492067.736325219,2864.0,631.3334687313653,4823.842270593372,1.1290556883965766,71.0,7827.577032347218,531.2914285714287,271320.117731393,PMD_80,0.8
